msoa11cd,NO2,NOx,PM10,PM25
E02002183,6.79915,8.662657,9.313576,6.328504
E02002184,8.315922,10.74202,9.696747,6.563476
E02002185,9.434155,12.28839,10.17049,7.008785
E02002186,8.580558,11.11529,9.5736,6.64547
E02002187,9.566224,12.48406,10.04517,6.820192
E02002188,9.680868,12.67171,10.13469,7.007618
E02002189,9.914714,12.98684,10.39481,7.1652
E02002190,12.64042,16.99228,12.03844,8.472118
E02002191,11.05897,14.65628,11.6582,8.310328
E02002192,10.19569,13.40362,10.16042,6.937622
E02002193,11.16869,14.82927,11.27867,7.900194
E02002194,8.831427,11.46379,10.40624,7.306054
E02002195,12.13926,16.24515,11.14462,7.69992
E02002196,7.4229,9.520894,9.481066,6.46312
E02002197,11.58432,15.39155,10.766435000000001,7.316274
E02002198,12.72932,17.1199,11.21403,7.711837
E02002199,14.26087,19.46112,12.06701,8.312811
E02002200,13.20773,17.80517,11.40806,7.711837
E02002201,14.69565,20.1965,12.52328,8.572978
E02002202,17.19898,24.09378,12.57611,8.603889
E02002203,14.90131,20.42869,12.27812,8.509601
E02002204,9.071004,11.8183,10.36493,6.953712
E02002205,8.456174,10.95745,9.773926,6.685086
E02002206,14.72117,20.20874,13.19363,9.169024
E02002207,13.97978,19.00824,12.03889,8.259256
E02002208,15.58703,21.52676,13.31848,9.360257
E02002209,17.10436,23.99666,13.65108,9.444062
E02002210,15.14436,20.85259,13.2498,9.147468
E02002211,14.18424,19.3629,12.11344,8.377171
E02002212,12.34939,16.58138,11.97166,8.176095
E02002213,8.355241,10.8136,9.945831,6.712293
E02002214,17.10436,23.99666,13.67916,9.562812
E02002215,16.99669,23.84586,13.24495,9.114183
E02002216,17.98631,25.43369,13.23538,9.077589
E02002217,18.20965,25.76177,13.94261,9.736476
E02002218,10.76435,14.23781,11.09179,7.608522
E02002219,17.17694,24.28406,12.90752,9.088804
E02002220,17.10436,23.99666,13.65108,9.562812
E02002221,19.9274,28.65358,13.7559,9.278991
E02002222,12.85427,17.30947,11.95197,8.233996
E02002223,17.97316,25.53573,13.24495,9.114183
E02002224,19.57135,28.18035,14.40355,10.04492
E02002225,10.0488,13.18873,10.63169,7.257687
E02002226,18.64179,26.63014,13.59395,9.366131
E02002227,22.59054,33.70291,14.1627,9.55955
E02002228,20.07334,29.16537,13.62094,9.352523
E02002229,11.832,15.79333,11.79216,7.91599
E02002230,23.64153,35.99446,14.5964,10.14278
E02002231,13.5571,18.41646,12.48003,8.600562
E02002232,16.56007,23.10561,13.86487,9.81331
E02002233,18.6952,26.62904,14.38541,10.01937
E02002234,16.70982,23.36039,12.89886,8.855793
E02002235,21.17958,30.7923,14.5964,10.09429
E02002236,15.49404,21.41544,13.10287,9.226849
E02002237,14.13638,19.28479,12.6408,8.830769
E02002238,18.87288,26.83886,14.57089,10.21045
E02002239,17.77355,25.15417,13.02908,8.855793
E02002240,11.59893,15.43974,12.48003,7.921766
E02002241,14.60316,20.00186,12.50708,8.646935
E02002242,17.83766,25.44555,12.92468,9.021544
E02002243,15.47949,21.40215,12.48331,8.530853
