pcdhl,NO2,NOx,PM10,PM25
BD1,22.22303,32.58718,13.83819,9.278991
BD10,15.49504,21.39089,12.52328,8.572978
BD11,16.26124,22.59806,12.41203,8.427506
BD12,15.47949,21.40215,12.49908,8.654351
BD13,10.74017,14.17704,10.98514,7.481398
BD14,11.91195,15.9292,11.79216,7.91599
BD15,10.76435,14.23781,11.09179,7.571388
BD16,11.45302,15.21573,10.44833,7.129642
BD17,12.51269,16.81909,11.14462,7.69992
BD18,14.75159,20.18604,12.27812,8.509601
BD2,15.99016,22.1953,13.65108,9.444062
BD20,8.789175,11.41486,9.821254,6.828351
BD21,12.64042,16.99228,11.6582,8.310328
BD22,8.456174,10.95745,9.804876,6.734433
BD3,19.57135,28.18035,13.98675,9.638295
BD4,19.53231,27.96034,13.62094,9.352523
BD5,19.53231,27.96034,14.38541,10.01937
BD6,15.49404,21.41544,12.76529,8.913569
BD7,16.56007,23.10561,13.15189,9.059284
BD8,17.17694,24.28406,13.23538,9.077589
BD9,14.18424,19.3629,12.11344,8.377171
BD97,15.988574999999999,22.353340000000003,12.102115000000001,8.24537
BD98,19.711005,28.34048,13.20715,8.94144
BD99,22.22303,32.58718,13.83819,9.278991
HX3,10.34477,13.62641,10.62013,7.171803
LS19,12.04622,16.13235,11.0878,7.696089
LS20,10.06841,13.23789,10.51453,7.108312
LS21,8.328167,10.76127,9.620502,6.628322
LS29,8.548873,11.0669,9.78075,6.71828
