WD15CD,ASScore,BHSScore,CriScore,CYPScore,DepChi,EduScore,EmpScore,EnvScore,GBScore,HDDScore,IDCScore,IDOScore,IMDScore,IncScore,IndScore,OutScore,Pop16_59,Pop60_,TotPop,WBScore,WorkPop
E05001341,0.241,16.475,0.068,-0.702,268,6.156,0.056,21.651,0.306,0.107,0.052,0.093,10.903,0.055,0.308,-0.11,825,494,1594,-2.021,847.25
E05001342,0.234,13.923,1.013,-0.605,310,6.739,0.082,35.803,0.003,0.46,0.054,0.095,20.479,0.062,0.981,-0.228,963,399,1596,-0.549,964.75
E05001343,0.267,11.834,0.432,-0.489,313,9.415,0.061,28.529,0.038,0.143,0.129,0.087,13.879,0.079,0.745,-0.37,961,452,1781,-2.295,954.75
E05001344,0.386,14.168,1.124,0.624,370,37.853,0.118,48.489,-0.527,0.566,0.179,0.193,29.52,0.158,1.128,0.73,978,312,1665,-0.42,968.25
E05001345,0.517,18.778,1.491,0.778,595,61.937,0.189,55.54,-0.541,1.11,0.276,0.343,52.854,0.284,1.277,0.94,1072,238,1905,1.297,1033
E05001346,0.589,21.809,1.472,0.905,620,66.247,0.187,53.967,-0.585,1.077,0.318,0.587,54.574,0.31,1.15,1.163,1104,197,1921,2.348,1065
E05001347,0.314,27.066,1.517,0.954,236,33.92,0.074,60.582,-0.756,0.833,0.168,0.469,33.188,0.095,1.438,1.299,1152,113,1541,3.354,1181.75
E05001348,0.435,14.83,1.57,0.714,453,39.76,0.142,34.03,-0.277,0.706,0.216,0.164,36.135,0.194,0.818,0.216,919,356,1742,-0.16,894.5
E05001349,0.233,15.067,-0.338,-0.156,235,9.031,0.062,25.937,-0.084,0.378,0.064,0.087,13.785,0.063,0.711,-0.707,811,491,1564,-1.211,826.75
E05001350,0.432,13.62,1.786,1.225,331,50.068,0.14,36.324,-0.238,0.756,0.282,0.211,38.892,0.188,0.777,0.508,838,286,1512,-0.361,849.25
E05001351,0.478,18.288,1.241,0.611,471,57.151,0.163,47.451,-0.546,0.67,0.289,0.278,45.152,0.272,1.2,0.513,981,288,1740,1.252,976.25
E05001352,0.368,12.798,0.971,0.238,518,25.26,0.136,25.472,-0.559,0.613,0.169,0.257,32.157,0.184,0.564,0.123,1075,258,1926,0.295,1067.25
E05001353,0.265,12.86,1.361,-0.375,307,10.761,0.063,22.467,-0.221,0.199,0.067,0.135,20.487,0.073,0.415,0.151,1005,347,1613,-1.221,1011.25
E05001354,0.112,19.715,0.075,-1.64,281,0.403,0.042,14.576,0.363,-0.504,0.026,0.03,7.156,0.032,0.135,-0.586,915,653,1853,-0.703,918
E05001355,0.61,21.361,1.495,1.089,515,72.154,0.302,68.96,-1.396,1.694,0.353,0.469,74.227,0.371,1.675,1.107,1366,256,2137,2.765,1361.75
E05001356,0.357,17.985,0.236,0.537,354,30.561,0.107,37.775,0.168,0.632,0.196,0.122,28.901,0.133,1.021,-0.157,929,418,1651,-0.795,892.75
E05001357,0.413,15.867,1.153,0.99,355,43.094,0.175,28.335,-0.271,1.059,0.294,0.223,40.236,0.231,0.777,-0.383,851,291,1551,0.128,848.75
E05001358,0.535,21.381,1.287,0.877,622,57.013,0.221,38.293,-0.936,0.999,0.304,0.639,52.993,0.344,0.653,0.968,1329,142,2093,2.571,1291.75
E05001359,0.578,25.016,1.957,0.493,764,57.398,0.252,63.564,-0.453,1.556,0.284,0.616,67.256,0.346,1.445,1.249,1522,178,2464,2.789,1494.5
E05001360,0.322,15.258,0.814,0.034,303,18.894,0.087,34.757,0.129,0.427,0.118,0.169,19.892,0.102,0.999,-0.105,1006,307,1563,-0.965,994.5
E05001361,0.454,14.262,1.189,1.062,374,52.713,0.161,23.935,-0.293,0.638,0.301,0.261,38.428,0.236,0.296,0.219,890,280,1514,-0.259,908.25
E05001362,0.256,13.981,0.903,0.655,175,22.948,0.133,64.96,-0.919,0.803,0.192,0.226,32.376,0.162,1.669,0.497,1080,167,1453,0.357,1053.25
E05001363,0.376,18.88,1.115,0.511,354,29.188,0.136,27.008,-0.271,0.527,0.245,0.176,30.649,0.174,0.691,-0.28,916,335,1720,-0.095,918.25
E05001364,0.538,17.973,0.848,0.549,606,46.483,0.178,44.379,-1.175,0.906,0.221,0.61,46.498,0.264,0.971,0.511,1274,252,2164,1.367,1246
E05001365,0.491,22.649,1.696,1.409,508,62.159,0.18,16.442,-0.159,1.024,0.329,0.368,45.537,0.273,-0.269,0.473,1161,284,1919,0.603,1135.75
E05001366,0.144,6.001,-0.477,-1.196,300,1.458,0.029,17.151,-0.388,-0.532,0.032,0.044,4.754,0.031,0.322,-0.479,805,436,1587,-2.676,811.75
E05001367,0.433,10.06,1.444,0.576,325,37.362,0.127,45.767,-0.515,0.545,0.203,0.202,33.695,0.189,1.059,0.831,863,329,1515,-0.054,866
E05001368,0.418,14.939,1.676,0.908,381,43.805,0.158,37.31,-0.101,0.628,0.27,0.19,39.221,0.205,0.835,0.342,954,324,1652,-0.602,931.75
E05001369,0.249,13.232,0.565,-0.136,278,10.759,0.068,41.768,0.134,0.148,0.09,0.105,19.285,0.07150000000000001,1.275,-0.675,920,387,1564,-1.895,939
E05001370,0.379,14.857,1.213,0.531,285,30.149,0.096,33.168,0.095,0.595,0.177,0.157,24.256,0.117,0.648,0.459,888,358,1615,-0.807,910
