GPSurgery,Latitude,Longitude
Ashcroft Surgery,53.82427398,-1.712082515
Ashwell Medical Centre,53.80407133,-1.777178838
Avicenna Medical Practice,53.79794826,-1.721723438
Baildon Medical Practice,53.8530659,-1.768844218
Barkerend Health Centre,53.79767235,-1.721192691
Bevan healthcare,53.79556151,-1.753321944
Bevan Healthcare,53.79556151,-1.753321944
Bilton Medical Practice,53.7986298,-1.770006886
Bingley Medical Practice,53.84686546,-1.828876354
Blackburn Medical,53.73089204,-1.663968686
Bowling Hall Medical Practice,53.77050185,-1.716590448
Bowling Highfield Medical Practice,53.77050185,-1.716590448
Bradford Moor,53.79794789,-1.721293345
Bradford Student Health Service,53.78566943,-1.767709958
Clarendon Medical Centre,53.80156503,-1.763479477
Cowgill Surgery,53.78086109,-1.817323513
Dr Akbar's Surgery,53.79813525,-1.740442298
Dr Akbar Surgery,53.79813525,-1.740442298
Dr de Haar and Partners,53.77494112,-1.753575976
Dr Gilkar little horton lane,53.78246101,-1.764711365
Dr Hamdani,53.82108338,-1.726167888
Dr I Gilkar,53.78246101,-1.764711365
Dr I Gilkhar,53.78246101,-1.764711365
Dr I M Raja & Partner,53.78247996,-1.764833365
Farrow Medical Practice,53.8022853,-1.743069827
Frizinghall,53.81845654,-1.773552065
Frizinghall Medical,53.81845654,-1.773552065
Frizinghall Medical Centre,53.81845654,-1.773552065
Grange Medical Centre,53.78669485,-1.775398523
Haigh Hall Medical Centre,53.83105821,-1.715214376
Heaton Medical Practice,53.81555877,-1.807200988
Hillfoot Surgery Leeds,53.79990273,-1.688012378
Hillside Bridge,53.79813525,-1.740442298
Hollyn's Health & Wellbeing,53.79926757,-1.826071122
Horton Bank Practice,53.77393937,-1.807196484
Horton Park Surgery,53.78483151,-1.773130434
Idle Medical Centre,53.83669699,-1.733357894
Kensington Partnership,53.80099178,-1.785814687
Leylands Medical Practice,53.81290919,-1.792560373
Little horton Lane,53.78237134,-1.764582893
Little Horton Lane,53.78237134,-1.764582893
Low Moor Medical Practice,53.75347234,-1.769255371
Manor Medical Practice,53.80298639,-1.788063837
Moor Park Medical,53.79792254,-1.72150111
Moorside Surgery,53.80952227,-1.730053377
Park Grange Medical Centre,53.78960772,-1.775628101
Parklands Medical Practice,53.78623933,-1.755945221
Parkside Medical Centre,53.7850267,-1.77275389
Peel Park Surgery,53.80643421,-1.732865625
Picton Medical Centre,53.80643021,-1.732782173
Primrose,53.79836235,-1.740282301
Rockwell & Wrose Practice,53.82180159,-1.736215211
Rooley Lane Medical Centre,53.77275297,-1.730755732
Saltaire and Windhill Medical Practice,53.83900769,-1.75680374
Saltaire Medical Practice,53.8346175,-1.790823996
Shipley Medical Practice,53.83237867,-1.781268813
Sunnybank Medical Centre,53.73810239,-1.767926482
The Avicenna Medical Practice,53.79794826,-1.721723438
The Bradford Moor Practice,53.78566943,-1.767709958
The City Medical Practice,53.80838281,-1.777007783
The Family Practice,53.80356266,-1.776665133
The Lister Surgery,53.80835901,-1.776639034
The Primrose Surgery,53.79836235,-1.740282301
The Ridge Medical Practice - Great Horton Surgery,53.78105691,-1.780343386
The Willows Medical Centre,53.76925859,-1.848468477
Thornbury Medical Centre,53.80339167,-1.711900854
Thornton Medical Centre,53.7904038,-1.847505633
Tong Medical Practice,53.77056094,-1.717163652
Valley View Surgery,53.80639185,-1.732925929
Westcliffe Medical Centre,53.83105752,-1.780107851
Wibsey & Queensbury Medical Centre,53.76741704,-1.779928712
Wilsden,53.81834594,-1.861405353
Windhill Green Medical Centre,53.83482866,-1.766564396
Woodroyd Medical Practice,53.77501299,-1.753557366
Picton Medical,53.80643021,-1.732782173
Farrow Medical Centre,53.8022853,-1.743069827
